"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:0039526",0.00327255729184318,1,2,2,"modulation by virus of host apoptotic process","BP"
"GO:0052041",0.00327255729184318,1,2,2,"negative regulation by symbiont of host programmed cell death","BP"
"GO:0052150",0.00327255729184318,1,2,2,"modulation by symbiont of host apoptotic process","BP"
"GO:0048883",0.00343262174511745,1,2,2,"neuromast primordium migration","BP"
"GO:0048920",0.00343262174511745,1,2,2,"posterior lateral line neuromast primordium migration","BP"
"GO:2000116",0.00345441583183546,0.998596897311674,17,138,"regulation of cysteine-type endopeptidase activity","BP"
"GO:0007376",0.00349025339940464,1,2,2,"cephalic furrow formation","BP"
"GO:0036268",0.00358867665686073,1,2,2,"swimming","BP"
"GO:1902514",0.003599888113945,0.999834466163734,3,6,"regulation of calcium ion transmembrane transport via high voltage-gated calcium channel","BP"
"GO:0099504",0.00366117939831032,0.99850371746909,17,139,"synaptic vesicle cycle","BP"
"GO:0043280",0.00376696466514607,0.998679660466685,13,94,"positive regulation of cysteine-type endopeptidase activity involved in apoptotic process","BP"
"GO:0045500",0.0037914967191899,0.999822338144179,3,6,"sevenless signaling pathway","BP"
"GO:0043281",0.00387657180363879,0.998457389691999,16,128,"regulation of cysteine-type endopeptidase activity involved in apoptotic process","BP"
"GO:1903671",0.00406033538218602,0.999428426958573,5,19,"negative regulation of sprouting angiogenesis","BP"
"GO:0043537",0.00408020391510045,0.999424959443764,5,19,"negative regulation of blood vessel endothelial cell migration","BP"
"GO:0009306",0.00419240387874971,0.998262452480337,17,140,"protein secretion","BP"
"GO:0002790",0.00484778457100064,0.99795959557123,17,142,"peptide secretion","BP"
"GO:0052547",0.00534430515780605,0.997392019822858,23,217,"regulation of peptidase activity","BP"
"GO:0007296",0.0054374011124794,0.999170726696593,5,20,"vitellogenesis","BP"
"GO:0035277",0.00561466715347009,0.999137015939102,5,20,"spiracle morphogenesis, open tracheal system","BP"
"GO:0055059",0.00584864681188747,0.998657348024243,7,37,"asymmetric neuroblast division","BP"
"GO:2001056",0.00586720492524118,0.997823352122711,13,99,"positive regulation of cysteine-type endopeptidase activity","BP"
"GO:0061343",0.00614070632079978,0.999622076739892,3,7,"cell adhesion involved in heart morphogenesis","BP"
"GO:1904340",0.00623791165380957,0.999613868610104,3,7,"positive regulation of dopaminergic neuron differentiation","BP"
"GO:0072583",0.00647257741012642,0.998480959876533,7,38,"clathrin-dependent endocytosis","BP"
"GO:0033144",0.006739441599622,0.998641090965149,6,29,"negative regulation of intracellular steroid hormone receptor signaling pathway","BP"
"GO:0018958",0.00710230776577597,0.997426002630231,12,90,"phenol-containing compound metabolic process","BP"
"GO:0032989",0.00719845910431981,0.995031307996438,73,919,"cellular component morphogenesis","BP"
"GO:0009792",0.00819758839203801,0.994368061548866,69,865,"embryo development ending in birth or egg hatching","BP"
"GO:0032940",0.00884604004642225,0.994131282020156,57,695,"secretion by cell","BP"
"GO:1900739",0.00931351428264899,0.999288164450591,3,8,"regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway","BP"
"GO:1900740",0.00931351428264899,0.999288164450591,3,8,"positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway","BP"
"GO:0006575",0.00942972109991263,0.995515664080066,19,177,"cellular modified amino acid metabolic process","BP"
"GO:0016189",0.00944756170899686,0.99927406411141,3,8,"synaptic vesicle to endosome fusion","BP"
"GO:0097498",0.00972714969759821,0.999244407220704,3,8,"endothelial tube lumen extension","BP"
"GO:0045175",0.00978729244091485,0.999237984384266,3,8,"basal protein localization","BP"
"GO:0044532",0.00985898784875922,0.999800268408413,2,3,"modulation of apoptotic process in another organism","BP"
"GO:0052040",0.00985898784875922,0.999800268408413,2,3,"modulation by symbiont of host programmed cell death","BP"
"GO:0003062",0.00992284855575734,0.99979828409207,2,3,"regulation of heart rate by chemical signal","BP"
"GO:0046038",0.0100317013721483,0.999794885775623,2,3,"GMP catabolic process","BP"
"GO:0042558",0.0100965663363117,0.997399635961681,7,41,"pteridine-containing compound metabolic process","BP"
"GO:0036245",0.0101736215281034,0.999790424998921,2,3,"cellular response to menadione","BP"
"GO:0090119",0.0102919682729675,0.999786679236422,2,3,"vesicle-mediated cholesterol transport","BP"
"GO:0015680",0.0104628612721922,0.999781228966394,2,3,"protein maturation by copper ion transfer","BP"
"GO:0017145",0.0107083608104338,0.995526423929665,14,118,"stem cell division","BP"
"GO:0098722",0.0117029032595873,0.996530123544437,8,52,"asymmetric stem cell division","BP"
"GO:0070536",0.0119357518055169,0.997725270948708,5,24,"protein K63-linked deubiquitination","BP"
"GO:0010596",0.0119782119795589,0.997715143876385,5,24,"negative regulation of endothelial cell migration","BP"
"GO:0010950",0.0119862034025666,0.995112320092001,13,108,"positive regulation of endopeptidase activity","BP"
"GO:0018149",0.0128269882359515,0.9988453653112,3,9,"peptide cross-linking","BP"
"GO:0032025",0.0130161683257062,0.998821857594575,3,9,"response to cobalt ion","BP"
"GO:2001234",0.013026823392556,0.993885383837321,17,158,"negative regulation of apoptotic signaling pathway","BP"
"GO:0090049",0.0132349063016779,0.996853678940801,6,34,"regulation of cell migration involved in sprouting angiogenesis","BP"
"GO:0036445",0.0133134345243943,0.995591270213013,9,64,"neuronal stem cell division","BP"
"GO:0055057",0.0133134345243943,0.995591270213013,9,64,"neuroblast division","BP"
"GO:0012502",0.0134537325866213,0.998766975796222,3,9,"induction of programmed cell death","BP"
"GO:0035072",0.0134537325866213,0.998766975796222,3,9,"ecdysone-mediated induction of salivary gland cell autophagic cell death","BP"
"GO:0035078",0.0134537325866213,0.998766975796222,3,9,"induction of programmed cell death by ecdysone","BP"
"GO:0035081",0.0134537325866213,0.998766975796222,3,9,"induction of programmed cell death by hormones","BP"
"GO:0007465",0.0135652204065134,0.998752879770141,3,9,"R7 cell fate commitment","BP"
"GO:0099532",0.0136035712202693,0.998748020378031,3,9,"synaptic vesicle endosomal processing","BP"
"GO:0000902",0.0136555460849809,0.990569108934321,62,784,"cell morphogenesis","BP"
"GO:0090324",0.0139178359324718,0.998707999276078,3,9,"negative regulation of oxidative phosphorylation","BP"
"GO:2001237",0.0139204520495582,0.996157371206818,7,44,"negative regulation of extrinsic apoptotic signaling pathway","BP"
"GO:0009653",0.0149003676575464,0.988278344133716,146,2065,"anatomical structure morphogenesis","BP"
"GO:0048103",0.0158425311710581,0.994209333370453,10,77,"somatic stem cell division","BP"
"GO:0008293",0.0163330644241374,0.997406971133737,4,17,"torso signaling pathway","BP"
"GO:0032368",0.0169051266897156,0.993753023193241,10,78,"regulation of lipid transport","BP"
"GO:0032880",0.0171938444650112,0.988166945900549,57,720,"regulation of protein localization","BP"
"GO:0006584",0.0182895293225624,0.995300698253447,6,36,"catecholamine metabolic process","BP"
"GO:0009712",0.0182895293225624,0.995300698253447,6,36,"catechol-containing compound metabolic process","BP"
"GO:0032496",0.018289839414932,0.990668243978395,19,189,"response to lipopolysaccharide","BP"
"GO:0031848",0.0186517889113602,0.999254713394304,2,4,"protection from non-homologous end joining at telomere","BP"
"GO:0031098",0.0186750375231683,0.991340589214433,15,139,"stress-activated protein kinase signaling cascade","BP"
"GO:1904425",0.0188185848906428,0.999244431747947,2,4,"negative regulation of GTP binding","BP"
"GO:0045651",0.0189211556647752,0.999238083967756,2,4,"positive regulation of macrophage differentiation","BP"
"GO:0097272",0.0189541211878114,0.999236039784304,2,4,"ammonium homeostasis","BP"
"GO:0002363",0.0189829780181463,0.997952103045467,3,10,"alpha-beta T cell lineage commitment","BP"
"GO:1903527",0.019067770061,0.999228977363426,2,4,"positive regulation of membrane tubulation","BP"
"GO:0045200",0.0191932707465747,0.997920663018879,3,10,"establishment of neuroblast polarity","BP"
"GO:1902042",0.0192058288544421,0.996766055010754,4,18,"negative regulation of extrinsic apoptotic signaling pathway via death domain receptors","BP"
"GO:0042403",0.0192101171061342,0.996765112675293,4,18,"thyroid hormone metabolic process","BP"
"GO:0071279",0.0193186866321939,0.99921330220498,2,4,"cellular response to cobalt ion","BP"
"GO:0060696",0.0193481485400769,0.999211454234914,2,4,"regulation of phospholipid catabolic process","BP"
"GO:1901841",0.0194780958842108,0.999203284811763,2,4,"regulation of high voltage-gated calcium channel activity","BP"
"GO:0019749",0.0195995440001496,0.999195622348124,2,4,"cytoskeleton-dependent cytoplasmic transport, nurse cell to oocyte","BP"
"GO:0035213",0.0196317141191828,0.999193588234614,2,4,"clypeo-labral disc development","BP"
"GO:0048728",0.0196317141191828,0.999193588234614,2,4,"proboscis development","BP"
"GO:0010719",0.019786728742358,0.996637794252465,4,18,"negative regulation of epithelial to mesenchymal transition","BP"
"GO:0021559",0.0198018842590687,0.999182797658244,2,4,"trigeminal nerve development","BP"
"GO:0045945",0.0198209671417751,0.999181584383807,2,4,"positive regulation of transcription by RNA polymerase III","BP"
"GO:0031272",0.0198621671858245,0.999178962707527,2,4,"regulation of pseudopodium assembly","BP"
"GO:2001233",0.0199299586560081,0.988441204732547,27,298,"regulation of apoptotic signaling pathway","BP"
"GO:2000298",0.0202600638191174,0.999153488379529,2,4,"regulation of Rho-dependent protein serine/threonine kinase activity","BP"
"GO:0015744",0.020331624845577,0.99914887715338,2,4,"succinate transport","BP"
"GO:0071422",0.020331624845577,0.99914887715338,2,4,"succinate transmembrane transport","BP"
"GO:0045466",0.0203865635172831,0.995480133293628,5,27,"R7 cell differentiation","BP"
"GO:0045196",0.0204881075121155,0.996481317782027,4,18,"establishment or maintenance of neuroblast polarity","BP"
"GO:1902041",0.0209194828408442,0.994445084586319,6,37,"regulation of extrinsic apoptotic signaling pathway via death domain receptors","BP"
"GO:0032388",0.0216643666490522,0.988966003841571,18,180,"positive regulation of intracellular transport","BP"
"GO:0043123",0.0219599142798428,0.992041301520928,9,70,"positive regulation of I-kappaB kinase/NF-kappaB signaling","BP"
"GO:0006044",0.0219987791286962,0.996106056376943,4,19,"N-acetylglucosamine metabolic process","BP"
"GO:0070201",0.0224411683049619,0.985263132002686,42,512,"regulation of establishment of protein localization","BP"
"GO:0046903",0.0224513340351816,0.984113972814976,61,790,"secretion","BP"
"GO:0070646",0.0228322348390997,0.987627980830357,21,220,"protein modification by small protein removal","BP"
"GO:0048880",0.0231976371430037,0.993678321342233,6,38,"sensory system development","BP"
"GO:0008363",0.0234268646079508,0.994592884511783,5,28,"larval chitin-based cuticle development","BP"
"GO:0042337",0.0234268646079508,0.994592884511783,5,28,"cuticle development involved in chitin-based cuticle molting cycle","BP"
"GO:0090100",0.0236425778372683,0.99075747937014,10,82,"positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","BP"
"GO:0051893",0.0237682080491568,0.993486645170111,6,38,"regulation of focal adhesion assembly","BP"
"GO:0090109",0.0237682080491568,0.993486645170111,6,38,"regulation of cell-substrate junction assembly","BP"
"GO:0090232",0.0239186077988666,0.997109154072316,3,11,"positive regulation of spindle checkpoint","BP"
"GO:0090267",0.0239186077988666,0.997109154072316,3,11,"positive regulation of mitotic cell cycle spindle assembly checkpoint","BP"
"GO:1901978",0.0239186077988666,0.997109154072316,3,11,"positive regulation of cell cycle checkpoint","BP"
"GO:0006570",0.0240617013025479,0.997085141276946,3,11,"tyrosine metabolic process","BP"
"GO:0006991",0.0241239522528614,0.997074676811365,3,11,"response to sterol depletion","BP"
"GO:0032933",0.0241239522528614,0.997074676811365,3,11,"SREBP signaling pathway","BP"
"GO:0071501",0.0241239522528614,0.997074676811365,3,11,"cellular response to sterol depletion","BP"
"GO:0061588",0.0241304134306976,0.997073590054281,3,11,"calcium activated phospholipid scrambling","BP"
"GO:0061590",0.0241304134306976,0.997073590054281,3,11,"calcium activated phosphatidylcholine scrambling","BP"
"GO:0061591",0.0241304134306976,0.997073590054281,3,11,"calcium activated galactosylceramide scrambling","BP"
"GO:1903077",0.0241502488965681,0.995600516718926,4,19,"negative regulation of protein localization to plasma membrane","BP"
"GO:0035289",0.0244168016224101,0.997025302426029,3,11,"posterior head segmentation","BP"
"GO:0060333",0.02454705466007,0.997003264651788,3,11,"interferon-gamma-mediated signaling pathway","BP"
"GO:0006547",0.0245602028954567,0.997001037444958,3,11,"histidine metabolic process","BP"
"GO:0052803",0.0245602028954567,0.997001037444958,3,11,"imidazole-containing compound metabolic process","BP"
"GO:0048699",0.0246300127008797,0.98107131169584,102,1416,"generation of neurons","BP"
"GO:1904338",0.0246359195508516,0.996988202271551,3,11,"regulation of dopaminergic neuron differentiation","BP"
"GO:0038027",0.0247304622669037,0.996972153389755,3,11,"apolipoprotein A-I-mediated signaling pathway","BP"
"GO:0071803",0.0249368272012399,0.996937036226075,3,11,"positive regulation of podosome assembly","BP"
"GO:0042326",0.0251428008735752,0.984532019094902,31,359,"negative regulation of phosphorylation","BP"
"GO:2000378",0.025257568859624,0.992068018010875,7,49,"negative regulation of reactive oxygen species metabolic process","BP"
"GO:0032370",0.0254227466958389,0.992005354212779,7,49,"positive regulation of lipid transport","BP"
"GO:0007254",0.0254338428254538,0.989932258965513,10,83,"JNK cascade","BP"
"GO:0006919",0.0255766841566506,0.991946873219779,7,49,"activation of cysteine-type endopeptidase activity involved in apoptotic process","BP"
"GO:0051248",0.0266569118128563,0.981429601623221,53,678,"negative regulation of protein metabolic process","BP"
"GO:1902107",0.0270127694991711,0.98983441670783,9,72,"positive regulation of leukocyte differentiation","BP"
"GO:0008219",0.027100212320838,0.981618533002621,46,576,"cell death","BP"
"GO:0030162",0.0273450381855268,0.981699564436213,43,534,"regulation of proteolysis","BP"
"GO:0007343",0.0277562733708492,0.994681603207519,4,20,"egg activation","BP"
"GO:1901028",0.0280315383958487,0.994612302353861,4,20,"regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway","BP"
"GO:0002237",0.0280840125554347,0.984969964584877,19,198,"response to molecule of bacterial origin","BP"
"GO:0010749",0.0282247666046882,0.998369299604157,2,5,"regulation of nitric oxide mediated signal transduction","BP"
"GO:2000831",0.0283591137042899,0.994529539422906,4,20,"regulation of steroid hormone secretion","BP"
"GO:0034058",0.0285900440181448,0.99447100425245,4,20,"endosomal vesicle fusion","BP"
"GO:0099003",0.0286479588557916,0.985244140268673,17,173,"vesicle-mediated transport in synapse","BP"
"GO:0045921",0.0299588920009664,0.989305303029221,8,62,"positive regulation of exocytosis","BP"
"GO:0040003",0.0300857058278252,0.990173800353784,7,51,"chitin-based cuticle development","BP"
"GO:0090240",0.0301068302258377,0.998198115439963,2,5,"positive regulation of histone H4 acetylation","BP"
"GO:0035075",0.0301574455030469,0.991230267628935,6,40,"response to ecdysone","BP"
"GO:1902774",0.0302263873024402,0.998187031656019,2,5,"late endosome to lysosome transport","BP"
"GO:0030511",0.0302387094494829,0.991201101316177,6,40,"positive regulation of transforming growth factor beta receptor signaling pathway","BP"
"GO:1903846",0.0302387094494829,0.991201101316177,6,40,"positive regulation of cellular response to transforming growth factor beta stimulus","BP"
"GO:0071447",0.0304660291649287,0.995874561972265,3,12,"cellular response to hydroperoxide","BP"
"GO:1903729",0.0306374359077363,0.995842223016163,3,12,"regulation of plasma membrane organization","BP"
"GO:0006835",0.0307692061299623,0.989902961082722,7,51,"dicarboxylic acid transport","BP"
"GO:0042670",0.0308314539413403,0.995805528393211,3,12,"retinal cone cell differentiation","BP"
"GO:0048742",0.0309017231432481,0.998123958672028,2,5,"regulation of skeletal muscle fiber development","BP"
"GO:0002082",0.0309736866007245,0.992249352502178,5,30,"regulation of oxidative phosphorylation","BP"
"GO:0035476",0.0311018419848243,0.998105117553268,2,5,"angioblast cell migration","BP"
"GO:0000335",0.0315074497568451,0.998066719001572,2,5,"negative regulation of transposition, DNA-mediated","BP"
"GO:0000337",0.0315074497568451,0.998066719001572,2,5,"regulation of transposition, DNA-mediated","BP"
"GO:0070344",0.0316676147860354,0.998051478820773,2,5,"regulation of fat cell proliferation","BP"
"GO:0071801",0.0317236887159984,0.99563556298786,3,12,"regulation of podosome assembly","BP"
"GO:0097051",0.0317541962378621,0.998043222113984,2,5,"establishment of protein localization to endoplasmic reticulum membrane","BP"
"GO:2000052",0.0317803141676544,0.995624709117101,3,12,"positive regulation of non-canonical Wnt signaling pathway","BP"
"GO:0035026",0.0319290357514855,0.995596164520353,3,12,"leading edge cell differentiation","BP"
"GO:2000848",0.0320340120934197,0.998016450628973,2,5,"positive regulation of corticosteroid hormone secretion","BP"
"GO:2000855",0.0320340120934197,0.998016450628973,2,5,"regulation of mineralocorticoid secretion","BP"
"GO:2000857",0.0320340120934197,0.998016450628973,2,5,"positive regulation of mineralocorticoid secretion","BP"
"GO:2000858",0.0320340120934197,0.998016450628973,2,5,"regulation of aldosterone secretion","BP"
"GO:2000860",0.0320340120934197,0.998016450628973,2,5,"positive regulation of aldosterone secretion","BP"
"GO:0072659",0.0325049003223989,0.985294086613853,12,111,"protein localization to plasma membrane","BP"
"GO:0014911",0.0326680459762372,0.990301789474326,6,41,"positive regulation of smooth muscle cell migration","BP"
"GO:0016348",0.0328992227646284,0.993308079571857,4,21,"imaginal disc-derived leg joint morphogenesis","BP"
"GO:0048666",0.0333483453551705,0.975433049096623,68,914,"neuron development","BP"
"GO:0007160",0.0334439661624168,0.987793847985916,8,63,"cell-matrix adhesion","BP"
"GO:0030952",0.0335478021818423,0.989978069724109,6,41,"establishment or maintenance of cytoskeleton polarity","BP"
"GO:0015740",0.0337153909889057,0.993088811986965,4,21,"C4-dicarboxylate transport","BP"
"GO:1904376",0.0338890330546524,0.993041931184719,4,21,"negative regulation of protein localization to cell periphery","BP"
"GO:0043086",0.0338985567267414,0.977831255766421,36,440,"negative regulation of catalytic activity","BP"
"GO:0010039",0.0344675779406042,0.991097002899167,5,31,"response to iron ion","BP"
"GO:0010810",0.0345000146262626,0.984246613246107,12,112,"regulation of cell-substrate adhesion","BP"
"GO:0042417",0.0347548538606693,0.991002741350767,5,31,"dopamine metabolic process","BP"
"GO:0016579",0.0350526299472191,0.980756239940551,19,203,"protein deubiquitination","BP"
"GO:0051246",0.0359794918336069,0.971379241821022,119,1701,"regulation of protein metabolic process","BP"
"GO:0030010",0.0360437143829861,0.982282441078185,14,138,"establishment of cell polarity","BP"
"GO:0030308",0.036408386317986,0.983911016947552,11,100,"negative regulation of cell growth","BP"
"GO:0030182",0.0366297037328507,0.972323408303694,78,1071,"neuron differentiation","BP"
"GO:0030166",0.0369124977502515,0.987378788143012,7,53,"proteoglycan biosynthetic process","BP"
"GO:0090305",0.0371206197917933,0.978500304239802,22,246,"nucleic acid phosphodiester bond hydrolysis","BP"
"GO:0002009",0.0375486588187343,0.972772233152727,59,784,"morphogenesis of an epithelium","BP"
"GO:0003159",0.037656734349449,0.994368835652615,3,13,"morphogenesis of an endothelium","BP"
"GO:0061154",0.037656734349449,0.994368835652615,3,13,"endothelial tube morphogenesis","BP"
"GO:1903749",0.0376694914857843,0.99436617131128,3,13,"positive regulation of establishment of protein localization to mitochondrion","BP"
"GO:0006359",0.0383810567875535,0.994216966393357,3,13,"regulation of transcription by RNA polymerase III","BP"
"GO:0019319",0.0384245379953208,0.989750002938814,5,32,"hexose biosynthetic process","BP"
"GO:1904424",0.0384531506759742,0.99420178448633,3,13,"regulation of GTP binding","BP"
"GO:0061883",0.038466058354516,0.994199065064637,3,13,"clathrin-dependent endocytosis involved in vitellogenesis","BP"
"GO:1903747",0.0385631720866774,0.99170349344605,4,22,"regulation of establishment of protein localization to mitochondrion","BP"
"GO:1902532",0.0386478330718394,0.974785493720968,34,416,"negative regulation of intracellular signal transduction","BP"
"GO:0016325",0.038788673583168,0.991639440297081,4,22,"oocyte microtubule cytoskeleton organization","BP"
"GO:0040026",0.0396964839855741,0.989316645245692,5,32,"positive regulation of vulval development","BP"
"GO:0045862",0.0404244108008282,0.974739821672294,28,332,"positive regulation of proteolysis","BP"
"GO:1904951",0.0404813554216685,0.975728718699361,24,276,"positive regulation of establishment of protein localization","BP"
"GO:0019439",0.0405628053521402,0.973799088387557,32,389,"aromatic compound catabolic process","BP"
"GO:1903391",0.0405634207555914,0.987278296844571,6,43,"regulation of adherens junction organization","BP"
"GO:0045216",0.0411911109751078,0.979362137187228,14,141,"cell-cell junction organization","BP"
"GO:1903530",0.0413877969566416,0.971733965356887,41,520,"regulation of secretion by cell","BP"
"GO:0016241",0.0414916511190452,0.978623457515977,15,154,"regulation of macroautophagy","BP"
"GO:1905954",0.0417669481773092,0.982934577230154,9,78,"positive regulation of lipid localization","BP"
"GO:0033993",0.04208282026044,0.970694934912212,45,579,"response to lipid","BP"
"GO:0061951",0.0423752024532318,0.988360050906723,5,33,"establishment of protein localization to plasma membrane","BP"
"GO:0010754",0.0428837633573783,0.996620287370575,2,6,"negative regulation of cGMP-mediated signaling","BP"
"GO:0015837",0.0430743416998137,0.996596898484202,2,6,"amine transport","BP"
"GO:0048882",0.0433083871149158,0.988032596010987,5,33,"lateral line development","BP"
"GO:0032386",0.043348559318047,0.972734120121863,28,334,"regulation of intracellular transport","BP"
"GO:0045665",0.0440509817592652,0.97605998876916,17,182,"negative regulation of neuron differentiation","BP"
"GO:0043247",0.0442533071185406,0.996450884797213,2,6,"telomere maintenance in response to DNA damage","BP"
"GO:0016926",0.0443677327197149,0.996436592396967,2,6,"protein desumoylation","BP"
"GO:0007366",0.0445714837629389,0.996411089990048,2,6,"periodic partitioning by pair rule gene","BP"
"GO:0051208",0.0446176686788128,0.996405299890874,2,6,"sequestering of calcium ion","BP"
"GO:0035103",0.0447429498580761,0.99638957622212,2,6,"sterol regulatory element binding protein cleavage","BP"
"GO:0048919",0.0447708316544468,0.996386073393661,2,6,"posterior lateral line neuromast development","BP"
"GO:0097284",0.0447879291783585,0.99638392478411,2,6,"hepatocyte apoptotic process","BP"
"GO:0009128",0.0450599838412526,0.996349672465367,2,6,"purine nucleoside monophosphate catabolic process","BP"
"GO:0009169",0.0450599838412526,0.996349672465367,2,6,"purine ribonucleoside monophosphate catabolic process","BP"
"GO:0032288",0.0451881957497491,0.992638213342537,3,14,"myelin assembly","BP"
"GO:1905952",0.0454243831352656,0.976918179495513,14,143,"regulation of lipid localization","BP"
"GO:0110011",0.0455563652947931,0.99628686819238,2,6,"regulation of basement membrane organization","BP"
"GO:0090501",0.0456507102332568,0.977465070714985,13,130,"RNA phosphodiester bond hydrolysis","BP"
"GO:0033194",0.0458082301436503,0.992496270425097,3,14,"response to hydroperoxide","BP"
"GO:0007412",0.0458837575381818,0.99247892421824,3,14,"axon target recognition","BP"
"GO:0061086",0.045913048419415,0.996241493586675,2,6,"negative regulation of histone H3-K27 methylation","BP"
"GO:0032346",0.0459522365311711,0.996236495870952,2,6,"positive regulation of aldosterone metabolic process","BP"
"GO:0032349",0.0459522365311711,0.996236495870952,2,6,"positive regulation of aldosterone biosynthetic process","BP"
"GO:0035518",0.0459768987344891,0.992457516014949,3,14,"histone H2A monoubiquitination","BP"
"GO:0070934",0.0460941986848586,0.996218370554265,2,6,"CRD-mediated mRNA stabilization","BP"
"GO:0060967",0.0462885871615124,0.992385741730888,3,14,"negative regulation of gene silencing by RNA","BP"
"GO:1902003",0.0465753149453452,0.992319533890113,3,14,"regulation of amyloid-beta formation","BP"
"GO:0046655",0.0465774464488686,0.992319041058576,3,14,"folic acid metabolic process","BP"
"GO:1902805",0.046595064346821,0.996154162978935,2,6,"positive regulation of synaptic vesicle transport","BP"
"GO:1904019",0.0466820867610198,0.992294835076211,3,14,"epithelial cell apoptotic process","BP"
"GO:0007026",0.0467672116080515,0.992275126511869,3,14,"negative regulation of microtubule depolymerization","BP"
"GO:0048675",0.0469372916703243,0.980381855522824,9,80,"axon extension","BP"
"GO:2000643",0.0470157567447037,0.992217494807049,3,14,"positive regulation of early endosome to late endosome transport","BP"
"GO:0010512",0.0471124209700944,0.992195045639379,3,14,"negative regulation of phosphatidylinositol biosynthetic process","BP"
"GO:1902646",0.0471124209700944,0.992195045639379,3,14,"regulation of 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate biosynthetic process","BP"
"GO:1902647",0.0471124209700944,0.992195045639379,3,14,"negative regulation of 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate biosynthetic process","BP"
"GO:0060033",0.0478413333302269,0.982639932828169,7,56,"anatomical structure regression","BP"
"GO:0043009",0.0479174891532388,0.966750702797773,42,541,"chordate embryonic development","BP"
"GO:0030111",0.0480090408290965,0.971042897267728,23,267,"regulation of Wnt signaling pathway","BP"
"GO:0031175",0.0482371138925883,0.964869302735428,55,736,"neuron projection development","BP"
"GO:0002578",0.0482456048193856,1,1,1,"negative regulation of antigen processing and presentation","BP"
"GO:0002580",0.0482456048193856,1,1,1,"regulation of antigen processing and presentation of peptide or polysaccharide antigen via MHC class II","BP"
"GO:0002581",0.0482456048193856,1,1,1,"negative regulation of antigen processing and presentation of peptide or polysaccharide antigen via MHC class II","BP"
"GO:0002605",0.0482456048193856,1,1,1,"negative regulation of dendritic cell antigen processing and presentation","BP"
"GO:2001027",0.0482456048193856,1,1,1,"negative regulation of endothelial cell chemotaxis","BP"
"GO:0090559",0.0491197280517296,0.983814854736922,6,45,"regulation of membrane permeability","BP"
"GO:0010952",0.0491983344967696,0.975437950869265,13,131,"positive regulation of peptidase activity","BP"
"GO:1901880",0.0494023496664513,0.988377470704095,4,24,"negative regulation of protein depolymerization","BP"
"GO:0022008",0.0498293864926795,0.960327343734542,105,1508,"neurogenesis","BP"
"GO:0002763",0.0499222482675525,0.985618586876177,5,34,"positive regulation of myeloid leukocyte differentiation","BP"
"GO:0005920",0.00359286693722481,1,2,2,"smooth septate junction","CC"
"GO:0000139",0.00630686291754369,0.996415171504862,34,363,"Golgi membrane","CC"
"GO:0005886",0.00728552424461211,0.994338200809045,161,2251,"plasma membrane","CC"
"GO:0016528",0.00864116031654089,0.99784562621359,7,40,"sarcoplasm","CC"
