Protein,Gene,Species,Life_stage,Sample,Expression,Orthogroup_4sp
CARP1,Pocillopora_acuta_HIv2___RNAseq.g16280.t1,Pocillopora_acuta,Metamorphosed,Meta_1,17,OG0006101
CARP1,Pocillopora_acuta_HIv2___RNAseq.g16280.t1,Pocillopora_acuta,Metamorphosed,Meta_2,53,OG0006101
CARP1,Pocillopora_acuta_HIv2___RNAseq.g16280.t1,Pocillopora_acuta,Metamorphosed,Meta_3,17,OG0006101
CARP1,Pocillopora_acuta_HIv2___RNAseq.g16280.t1,Pocillopora_acuta,Spat,Spat_1,557,OG0006101
CARP1,Pocillopora_acuta_HIv2___RNAseq.g16280.t1,Pocillopora_acuta,Spat,Spat_2,433,OG0006101
CARP1,Pocillopora_acuta_HIv2___RNAseq.g16280.t1,Pocillopora_acuta,Spat,Spat_3,1039,OG0006101
CARP1,SpisGene6759,Stylophora_pistillata,Larvae,Larva_1,0,OG0006101
CARP1,SpisGene6759,Stylophora_pistillata,Larvae,Larva_2,0,OG0006101
CARP1,SpisGene6759,Stylophora_pistillata,Larvae,Larva_3,0,OG0006101
CARP1,SpisGene6759,Stylophora_pistillata,Metamorphosed,Meta_1,0,OG0006101
CARP1,SpisGene6759,Stylophora_pistillata,Metamorphosed,Meta_2,11,OG0006101
CARP1,SpisGene6759,Stylophora_pistillata,Metamorphosed,Meta_3,12,OG0006101
CARP1,SpisGene6759,Stylophora_pistillata,Spat,Spat_1,23,OG0006101
CARP1,SpisGene6759,Stylophora_pistillata,Spat,Spat_2,49,OG0006101
CARP1,SpisGene6759,Stylophora_pistillata,Spat,Spat_3,28,OG0006101
CARP2,aten_0.1.m1.36845.m1,Acropora_tenuis,Larvae,Larva_1,2454,OG0011886
CARP2,aten_0.1.m1.36845.m1,Acropora_tenuis,Larvae,Larva_2,2038,OG0011886
CARP2,aten_0.1.m1.36845.m1,Acropora_tenuis,Larvae,Larva_3,2728,OG0011886
CARP2,aten_0.1.m1.36845.m1,Acropora_tenuis,Metamorphosed,Meta_1,2183,OG0011886
CARP2,aten_0.1.m1.36845.m1,Acropora_tenuis,Metamorphosed,Meta_2,1399,OG0011886
CARP2,aten_0.1.m1.36845.m1,Acropora_tenuis,Metamorphosed,Meta_3,1392,OG0011886
CARP2,aten_0.1.m1.36845.m1,Acropora_tenuis,Spat,Spat_1,554,OG0011886
CARP2,aten_0.1.m1.36845.m1,Acropora_tenuis,Spat,Spat_2,628,OG0011886
CARP2,aten_0.1.m1.36845.m1,Acropora_tenuis,Spat,Spat_3,382,OG0011886
CARP2,Montipora_capitata_HIv3___RNAseq.g9023.t1,Montipora_capitata,Larvae,Larva_1,16130,OG0011886
CARP2,Montipora_capitata_HIv3___RNAseq.g9023.t1,Montipora_capitata,Larvae,Larva_2,18649,OG0011886
CARP2,Montipora_capitata_HIv3___RNAseq.g9023.t1,Montipora_capitata,Larvae,Larva_3,19265,OG0011886
CARP2,Montipora_capitata_HIv3___RNAseq.g9023.t1,Montipora_capitata,Metamorphosed,Meta_1,17817,OG0011886
CARP2,Montipora_capitata_HIv3___RNAseq.g9023.t1,Montipora_capitata,Metamorphosed,Meta_2,14135,OG0011886
CARP2,Montipora_capitata_HIv3___RNAseq.g9023.t1,Montipora_capitata,Metamorphosed,Meta_3,17764,OG0011886
CARP2,Montipora_capitata_HIv3___RNAseq.g9023.t1,Montipora_capitata,Spat,Spat_1,2044,OG0011886
CARP2,Montipora_capitata_HIv3___RNAseq.g9023.t1,Montipora_capitata,Spat,Spat_2,2339,OG0011886
CARP2,Montipora_capitata_HIv3___RNAseq.g9023.t1,Montipora_capitata,Spat,Spat_3,2415,OG0011886
CARP2,SpisGene9146,Stylophora_pistillata,Larvae,Larva_1,512,OG0011886
CARP2,SpisGene9146,Stylophora_pistillata,Larvae,Larva_2,2656,OG0011886
CARP2,SpisGene9146,Stylophora_pistillata,Larvae,Larva_3,988,OG0011886
CARP2,SpisGene9146,Stylophora_pistillata,Metamorphosed,Meta_1,169,OG0011886
CARP2,SpisGene9146,Stylophora_pistillata,Metamorphosed,Meta_2,3580,OG0011886
CARP2,SpisGene9146,Stylophora_pistillata,Metamorphosed,Meta_3,2759,OG0011886
CARP2,SpisGene9146,Stylophora_pistillata,Spat,Spat_1,175,OG0011886
CARP2,SpisGene9146,Stylophora_pistillata,Spat,Spat_2,62,OG0011886
CARP2,SpisGene9146,Stylophora_pistillata,Spat,Spat_3,32,OG0011886
CARP2,Pocillopora_acuta_HIv2___RNAseq.g15912.t1,Pocillopora_acuta,Larvae,Larva_1,2225,OG0011886
CARP2,Pocillopora_acuta_HIv2___RNAseq.g15912.t1,Pocillopora_acuta,Larvae,Larva_2,4486,OG0011886
CARP2,Pocillopora_acuta_HIv2___RNAseq.g15912.t1,Pocillopora_acuta,Larvae,Larva_3,3876,OG0011886
CARP2,Pocillopora_acuta_HIv2___RNAseq.g15912.t1,Pocillopora_acuta,Metamorphosed,Meta_1,702,OG0011886
CARP2,Pocillopora_acuta_HIv2___RNAseq.g15912.t1,Pocillopora_acuta,Metamorphosed,Meta_2,789,OG0011886
CARP2,Pocillopora_acuta_HIv2___RNAseq.g15912.t1,Pocillopora_acuta,Metamorphosed,Meta_3,460,OG0011886
CARP2,Pocillopora_acuta_HIv2___RNAseq.g15912.t1,Pocillopora_acuta,Spat,Spat_1,321,OG0011886
CARP2,Pocillopora_acuta_HIv2___RNAseq.g15912.t1,Pocillopora_acuta,Spat,Spat_2,211,OG0011886
CARP2,Pocillopora_acuta_HIv2___RNAseq.g15912.t1,Pocillopora_acuta,Spat,Spat_3,355,OG0011886
Cadherin,aten_0.1.m1.3472.m1,Acropora_tenuis,Larvae,Larva_1,4360,OG0008668
Cadherin,aten_0.1.m1.3472.m1,Acropora_tenuis,Larvae,Larva_2,5402,OG0008668
Cadherin,aten_0.1.m1.3472.m1,Acropora_tenuis,Larvae,Larva_3,6496,OG0008668
Cadherin,aten_0.1.m1.3472.m1,Acropora_tenuis,Metamorphosed,Meta_1,4401,OG0008668
Cadherin,aten_0.1.m1.3472.m1,Acropora_tenuis,Metamorphosed,Meta_2,4541,OG0008668
Cadherin,aten_0.1.m1.3472.m1,Acropora_tenuis,Metamorphosed,Meta_3,4339,OG0008668
Cadherin,aten_0.1.m1.3472.m1,Acropora_tenuis,Spat,Spat_1,8074,OG0008668
Cadherin,aten_0.1.m1.3472.m1,Acropora_tenuis,Spat,Spat_2,8378,OG0008668
Cadherin,aten_0.1.m1.3472.m1,Acropora_tenuis,Spat,Spat_3,8631,OG0008668
Cadherin,Montipora_capitata_HIv3___RNAseq.g47629.t1,Montipora_capitata,Larvae,Larva_1,23113,OG0008668
Cadherin,Montipora_capitata_HIv3___RNAseq.g47629.t1,Montipora_capitata,Larvae,Larva_2,25006,OG0008668
Cadherin,Montipora_capitata_HIv3___RNAseq.g47629.t1,Montipora_capitata,Larvae,Larva_3,22341,OG0008668
Cadherin,Montipora_capitata_HIv3___RNAseq.g47629.t1,Montipora_capitata,Metamorphosed,Meta_1,19949,OG0008668
Cadherin,Montipora_capitata_HIv3___RNAseq.g47629.t1,Montipora_capitata,Metamorphosed,Meta_2,19530,OG0008668
Cadherin,Montipora_capitata_HIv3___RNAseq.g47629.t1,Montipora_capitata,Metamorphosed,Meta_3,21133,OG0008668
Cadherin,Montipora_capitata_HIv3___RNAseq.g47629.t1,Montipora_capitata,Spat,Spat_1,4299,OG0008668
Cadherin,Montipora_capitata_HIv3___RNAseq.g47629.t1,Montipora_capitata,Spat,Spat_2,6122,OG0008668
Cadherin,Montipora_capitata_HIv3___RNAseq.g47629.t1,Montipora_capitata,Spat,Spat_3,10838,OG0008668
Cadherin,Pocillopora_acuta_HIv2___TS.g6583.t1,Pocillopora_acuta,Larvae,Larva_1,5134,OG0008668
Cadherin,Pocillopora_acuta_HIv2___TS.g6583.t1,Pocillopora_acuta,Larvae,Larva_2,7059,OG0008668
Cadherin,Pocillopora_acuta_HIv2___TS.g6583.t1,Pocillopora_acuta,Larvae,Larva_3,8083,OG0008668
Cadherin,Pocillopora_acuta_HIv2___TS.g6583.t1,Pocillopora_acuta,Metamorphosed,Meta_1,7813,OG0008668
Cadherin,Pocillopora_acuta_HIv2___TS.g6583.t1,Pocillopora_acuta,Metamorphosed,Meta_2,4861,OG0008668
Cadherin,Pocillopora_acuta_HIv2___TS.g6583.t1,Pocillopora_acuta,Metamorphosed,Meta_3,7724,OG0008668
Cadherin,Pocillopora_acuta_HIv2___TS.g6583.t1,Pocillopora_acuta,Spat,Spat_1,8779,OG0008668
Cadherin,Pocillopora_acuta_HIv2___TS.g6583.t1,Pocillopora_acuta,Spat,Spat_2,7936,OG0008668
Cadherin,Pocillopora_acuta_HIv2___TS.g6583.t1,Pocillopora_acuta,Spat,Spat_3,8145,OG0008668
Cadherin,SpisGene30,Stylophora_pistillata,Larvae,Larva_1,2394,OG0008668
Cadherin,SpisGene30,Stylophora_pistillata,Larvae,Larva_2,2565,OG0008668
Cadherin,SpisGene30,Stylophora_pistillata,Larvae,Larva_3,2453,OG0008668
Cadherin,SpisGene30,Stylophora_pistillata,Metamorphosed,Meta_1,2676,OG0008668
Cadherin,SpisGene30,Stylophora_pistillata,Metamorphosed,Meta_2,6244,OG0008668
Cadherin,SpisGene30,Stylophora_pistillata,Metamorphosed,Meta_3,5166,OG0008668
Cadherin,SpisGene30,Stylophora_pistillata,Spat,Spat_1,3303,OG0008668
Cadherin,SpisGene30,Stylophora_pistillata,Spat,Spat_2,2712,OG0008668
Cadherin,SpisGene30,Stylophora_pistillata,Spat,Spat_3,3164,OG0008668
Vitellogenin,aten_0.1.m1.5575.m1,Acropora_tenuis,Larvae,Larva_1,25373,OG0009017
Vitellogenin,aten_0.1.m1.5575.m1,Acropora_tenuis,Larvae,Larva_2,39992,OG0009017
Vitellogenin,aten_0.1.m1.5575.m1,Acropora_tenuis,Larvae,Larva_3,12269,OG0009017
Vitellogenin,aten_0.1.m1.5575.m1,Acropora_tenuis,Metamorphosed,Meta_1,23427,OG0009017
Vitellogenin,aten_0.1.m1.5575.m1,Acropora_tenuis,Metamorphosed,Meta_2,28019,OG0009017
Vitellogenin,aten_0.1.m1.5575.m1,Acropora_tenuis,Metamorphosed,Meta_3,9828,OG0009017
Vitellogenin,aten_0.1.m1.5575.m1,Acropora_tenuis,Spat,Spat_1,8091,OG0009017
Vitellogenin,aten_0.1.m1.5575.m1,Acropora_tenuis,Spat,Spat_2,6166,OG0009017
Vitellogenin,aten_0.1.m1.5575.m1,Acropora_tenuis,Spat,Spat_3,10183,OG0009017
Vitellogenin,Montipora_capitata_HIv3___RNAseq.g28064.t1,Montipora_capitata,Larvae,Larva_1,2281,OG0009017
Vitellogenin,Montipora_capitata_HIv3___RNAseq.g28064.t1,Montipora_capitata,Larvae,Larva_2,1749,OG0009017
Vitellogenin,Montipora_capitata_HIv3___RNAseq.g28064.t1,Montipora_capitata,Larvae,Larva_3,2514,OG0009017
Vitellogenin,Montipora_capitata_HIv3___RNAseq.g28064.t1,Montipora_capitata,Metamorphosed,Meta_1,3061,OG0009017
Vitellogenin,Montipora_capitata_HIv3___RNAseq.g28064.t1,Montipora_capitata,Metamorphosed,Meta_2,3313,OG0009017
Vitellogenin,Montipora_capitata_HIv3___RNAseq.g28064.t1,Montipora_capitata,Metamorphosed,Meta_3,3212,OG0009017
Vitellogenin,Montipora_capitata_HIv3___RNAseq.g28064.t1,Montipora_capitata,Spat,Spat_1,6396,OG0009017
Vitellogenin,Montipora_capitata_HIv3___RNAseq.g28064.t1,Montipora_capitata,Spat,Spat_2,6013,OG0009017
Vitellogenin,Montipora_capitata_HIv3___RNAseq.g28064.t1,Montipora_capitata,Spat,Spat_3,11079,OG0009017
Vitellogenin,Pocillopora_acuta_HIv2___TS.g13222.t1b,Pocillopora_acuta,Larvae,Larva_1,3925,OG0009017
Vitellogenin,Pocillopora_acuta_HIv2___TS.g13222.t1b,Pocillopora_acuta,Larvae,Larva_2,7652,OG0009017
Vitellogenin,Pocillopora_acuta_HIv2___TS.g13222.t1b,Pocillopora_acuta,Larvae,Larva_3,6748,OG0009017
Vitellogenin,Pocillopora_acuta_HIv2___TS.g13222.t1b,Pocillopora_acuta,Metamorphosed,Meta_1,3518,OG0009017
Vitellogenin,Pocillopora_acuta_HIv2___TS.g13222.t1b,Pocillopora_acuta,Metamorphosed,Meta_2,2859,OG0009017
Vitellogenin,Pocillopora_acuta_HIv2___TS.g13222.t1b,Pocillopora_acuta,Metamorphosed,Meta_3,5484,OG0009017
Vitellogenin,Pocillopora_acuta_HIv2___TS.g13222.t1b,Pocillopora_acuta,Spat,Spat_1,73370,OG0009017
Vitellogenin,Pocillopora_acuta_HIv2___TS.g13222.t1b,Pocillopora_acuta,Spat,Spat_2,66148,OG0009017
Vitellogenin,Pocillopora_acuta_HIv2___TS.g13222.t1b,Pocillopora_acuta,Spat,Spat_3,80571,OG0009017
Vitellogenin,SpisGene2954,Stylophora_pistillata,Larvae,Larva_1,92,OG0009017
Vitellogenin,SpisGene2954,Stylophora_pistillata,Larvae,Larva_2,204,OG0009017
Vitellogenin,SpisGene2954,Stylophora_pistillata,Larvae,Larva_3,319,OG0009017
Vitellogenin,SpisGene2954,Stylophora_pistillata,Metamorphosed,Meta_1,206,OG0009017
Vitellogenin,SpisGene2954,Stylophora_pistillata,Metamorphosed,Meta_2,31,OG0009017
Vitellogenin,SpisGene2954,Stylophora_pistillata,Metamorphosed,Meta_3,3428,OG0009017
Vitellogenin,SpisGene2954,Stylophora_pistillata,Spat,Spat_1,23475,OG0009017
Vitellogenin,SpisGene2954,Stylophora_pistillata,Spat,Spat_2,41716,OG0009017
Vitellogenin,SpisGene2954,Stylophora_pistillata,Spat,Spat_3,20453,OG0009017
Carbonic_anhydrase_SPTCA2-1,Pocillopora_acuta_HIv2___TS.g12304.t1,Pocillopora_acuta,Larvae,Larva_1,0,OG0018705
Carbonic_anhydrase_SPTCA2-1,Pocillopora_acuta_HIv2___TS.g12304.t1,Pocillopora_acuta,Larvae,Larva_2,0,OG0018705
Carbonic_anhydrase_SPTCA2-1,Pocillopora_acuta_HIv2___TS.g12304.t1,Pocillopora_acuta,Larvae,Larva_3,0,OG0018705
Carbonic_anhydrase_SPTCA2-1,Pocillopora_acuta_HIv2___TS.g12304.t1,Pocillopora_acuta,Metamorphosed,Meta_1,0,OG0018705
Carbonic_anhydrase_SPTCA2-1,Pocillopora_acuta_HIv2___TS.g12304.t1,Pocillopora_acuta,Metamorphosed,Meta_2,0,OG0018705
Carbonic_anhydrase_SPTCA2-1,Pocillopora_acuta_HIv2___TS.g12304.t1,Pocillopora_acuta,Metamorphosed,Meta_3,14,OG0018705
Carbonic_anhydrase_SPTCA2-1,Pocillopora_acuta_HIv2___TS.g12304.t1,Pocillopora_acuta,Spat,Spat_1,78607,OG0018705
Carbonic_anhydrase_SPTCA2-1,Pocillopora_acuta_HIv2___TS.g12304.t1,Pocillopora_acuta,Spat,Spat_2,76994,OG0018705
Carbonic_anhydrase_SPTCA2-1,Pocillopora_acuta_HIv2___TS.g12304.t1,Pocillopora_acuta,Spat,Spat_3,80062,OG0018705
Carbonic_anhydrase_SPTCA2-1,SpisGene16817,Stylophora_pistillata,Larvae,Larva_1,6,OG0018705
Carbonic_anhydrase_SPTCA2-1,SpisGene16817,Stylophora_pistillata,Larvae,Larva_2,0,OG0018705
Carbonic_anhydrase_SPTCA2-1,SpisGene16817,Stylophora_pistillata,Larvae,Larva_3,15,OG0018705
Carbonic_anhydrase_SPTCA2-1,SpisGene16817,Stylophora_pistillata,Metamorphosed,Meta_1,3,OG0018705
Carbonic_anhydrase_SPTCA2-1,SpisGene16817,Stylophora_pistillata,Metamorphosed,Meta_2,0,OG0018705
Carbonic_anhydrase_SPTCA2-1,SpisGene16817,Stylophora_pistillata,Metamorphosed,Meta_3,14,OG0018705
Carbonic_anhydrase_SPTCA2-1,SpisGene16817,Stylophora_pistillata,Spat,Spat_1,60,OG0018705
Carbonic_anhydrase_SPTCA2-1,SpisGene16817,Stylophora_pistillata,Spat,Spat_2,16,OG0018705
Carbonic_anhydrase_SPTCA2-1,SpisGene16817,Stylophora_pistillata,Spat,Spat_3,14,OG0018705
Carbonic_anhydrase_SPTCA2-2,aten_0.1.m1.4613.m1,Acropora_tenuis,Larvae,Larva_1,23,OG0009926
Carbonic_anhydrase_SPTCA2-2,aten_0.1.m1.4613.m1,Acropora_tenuis,Larvae,Larva_2,111,OG0009926
Carbonic_anhydrase_SPTCA2-2,aten_0.1.m1.4613.m1,Acropora_tenuis,Larvae,Larva_3,131,OG0009926
Carbonic_anhydrase_SPTCA2-2,aten_0.1.m1.4613.m1,Acropora_tenuis,Metamorphosed,Meta_1,27,OG0009926
Carbonic_anhydrase_SPTCA2-2,aten_0.1.m1.4613.m1,Acropora_tenuis,Metamorphosed,Meta_2,29,OG0009926
Carbonic_anhydrase_SPTCA2-2,aten_0.1.m1.4613.m1,Acropora_tenuis,Metamorphosed,Meta_3,41,OG0009926
Carbonic_anhydrase_SPTCA2-2,aten_0.1.m1.4613.m1,Acropora_tenuis,Spat,Spat_1,26,OG0009926
Carbonic_anhydrase_SPTCA2-2,aten_0.1.m1.4613.m1,Acropora_tenuis,Spat,Spat_2,45,OG0009926
Carbonic_anhydrase_SPTCA2-2,aten_0.1.m1.4613.m1,Acropora_tenuis,Spat,Spat_3,9,OG0009926
Carbonic_anhydrase_SPTCA2-2,Montipora_capitata_HIv3___RNAseq.g15015.t1,Montipora_capitata,Larvae,Larva_1,250,OG0009926
Carbonic_anhydrase_SPTCA2-2,Montipora_capitata_HIv3___RNAseq.g15015.t1,Montipora_capitata,Larvae,Larva_2,262,OG0009926
Carbonic_anhydrase_SPTCA2-2,Montipora_capitata_HIv3___RNAseq.g15015.t1,Montipora_capitata,Larvae,Larva_3,240,OG0009926
Carbonic_anhydrase_SPTCA2-2,Montipora_capitata_HIv3___RNAseq.g15015.t1,Montipora_capitata,Metamorphosed,Meta_1,340,OG0009926
Carbonic_anhydrase_SPTCA2-2,Montipora_capitata_HIv3___RNAseq.g15015.t1,Montipora_capitata,Metamorphosed,Meta_2,344,OG0009926
Carbonic_anhydrase_SPTCA2-2,Montipora_capitata_HIv3___RNAseq.g15015.t1,Montipora_capitata,Metamorphosed,Meta_3,362,OG0009926
Carbonic_anhydrase_SPTCA2-2,Montipora_capitata_HIv3___RNAseq.g15015.t1,Montipora_capitata,Spat,Spat_1,805,OG0009926
Carbonic_anhydrase_SPTCA2-2,Montipora_capitata_HIv3___RNAseq.g15015.t1,Montipora_capitata,Spat,Spat_2,841,OG0009926
Carbonic_anhydrase_SPTCA2-2,Montipora_capitata_HIv3___RNAseq.g15015.t1,Montipora_capitata,Spat,Spat_3,1649,OG0009926
Carbonic_anhydrase_SPTCA2-2,Pocillopora_acuta_HIv2___RNAseq.g13823.t1,Pocillopora_acuta,Larvae,Larva_1,0,OG0009926
Carbonic_anhydrase_SPTCA2-2,Pocillopora_acuta_HIv2___RNAseq.g13823.t1,Pocillopora_acuta,Larvae,Larva_2,0,OG0009926
Carbonic_anhydrase_SPTCA2-2,Pocillopora_acuta_HIv2___RNAseq.g13823.t1,Pocillopora_acuta,Larvae,Larva_3,0,OG0009926
Carbonic_anhydrase_SPTCA2-2,Pocillopora_acuta_HIv2___RNAseq.g13823.t1,Pocillopora_acuta,Metamorphosed,Meta_1,0,OG0009926
Carbonic_anhydrase_SPTCA2-2,Pocillopora_acuta_HIv2___RNAseq.g13823.t1,Pocillopora_acuta,Metamorphosed,Meta_2,0,OG0009926
Carbonic_anhydrase_SPTCA2-2,Pocillopora_acuta_HIv2___RNAseq.g13823.t1,Pocillopora_acuta,Metamorphosed,Meta_3,9,OG0009926
Carbonic_anhydrase_SPTCA2-2,Pocillopora_acuta_HIv2___RNAseq.g13823.t1,Pocillopora_acuta,Spat,Spat_1,1568,OG0009926
Carbonic_anhydrase_SPTCA2-2,Pocillopora_acuta_HIv2___RNAseq.g13823.t1,Pocillopora_acuta,Spat,Spat_2,1745,OG0009926
Carbonic_anhydrase_SPTCA2-2,Pocillopora_acuta_HIv2___RNAseq.g13823.t1,Pocillopora_acuta,Spat,Spat_3,1705,OG0009926
Carbonic_anhydrase_SPTCA2-2,SpisGene16818,Stylophora_pistillata,Larvae,Larva_1,12,OG0009926
Carbonic_anhydrase_SPTCA2-2,SpisGene16818,Stylophora_pistillata,Larvae,Larva_2,0,OG0009926
Carbonic_anhydrase_SPTCA2-2,SpisGene16818,Stylophora_pistillata,Larvae,Larva_3,14,OG0009926
Carbonic_anhydrase_SPTCA2-2,SpisGene16818,Stylophora_pistillata,Metamorphosed,Meta_1,50,OG0009926
Carbonic_anhydrase_SPTCA2-2,SpisGene16818,Stylophora_pistillata,Metamorphosed,Meta_2,65,OG0009926
Carbonic_anhydrase_SPTCA2-2,SpisGene16818,Stylophora_pistillata,Metamorphosed,Meta_3,27,OG0009926
Carbonic_anhydrase_SPTCA2-2,SpisGene16818,Stylophora_pistillata,Spat,Spat_1,309,OG0009926
Carbonic_anhydrase_SPTCA2-2,SpisGene16818,Stylophora_pistillata,Spat,Spat_2,433,OG0009926
Carbonic_anhydrase_SPTCA2-2,SpisGene16818,Stylophora_pistillata,Spat,Spat_3,556,OG0009926
MAM and LDL-receptor class A domain-containing 1,aten_0.1.m1.6354.m1,Acropora_tenuis,Larvae,Larva_1,1337,OG0011351
MAM and LDL-receptor class A domain-containing 1,aten_0.1.m1.6354.m1,Acropora_tenuis,Larvae,Larva_2,2362,OG0011351
MAM and LDL-receptor class A domain-containing 1,aten_0.1.m1.6354.m1,Acropora_tenuis,Larvae,Larva_3,1533,OG0011351
MAM and LDL-receptor class A domain-containing 1,aten_0.1.m1.6354.m1,Acropora_tenuis,Metamorphosed,Meta_1,1332,OG0011351
MAM and LDL-receptor class A domain-containing 1,aten_0.1.m1.6354.m1,Acropora_tenuis,Metamorphosed,Meta_2,1731,OG0011351
MAM and LDL-receptor class A domain-containing 1,aten_0.1.m1.6354.m1,Acropora_tenuis,Metamorphosed,Meta_3,1142,OG0011351
MAM and LDL-receptor class A domain-containing 1,aten_0.1.m1.6354.m1,Acropora_tenuis,Spat,Spat_1,6046,OG0011351
MAM and LDL-receptor class A domain-containing 1,aten_0.1.m1.6354.m1,Acropora_tenuis,Spat,Spat_2,3759,OG0011351
MAM and LDL-receptor class A domain-containing 1,aten_0.1.m1.6354.m1,Acropora_tenuis,Spat,Spat_3,3933,OG0011351
MAM and LDL-receptor class A domain-containing 1,Montipora_capitata_HIv3___RNAseq.g49409.t1,Montipora_capitata,Larvae,Larva_1,10154,OG0011351
MAM and LDL-receptor class A domain-containing 1,Montipora_capitata_HIv3___RNAseq.g49409.t1,Montipora_capitata,Larvae,Larva_2,10714,OG0011351
MAM and LDL-receptor class A domain-containing 1,Montipora_capitata_HIv3___RNAseq.g49409.t1,Montipora_capitata,Larvae,Larva_3,9478,OG0011351
MAM and LDL-receptor class A domain-containing 1,Montipora_capitata_HIv3___RNAseq.g49409.t1,Montipora_capitata,Metamorphosed,Meta_1,8162,OG0011351
MAM and LDL-receptor class A domain-containing 1,Montipora_capitata_HIv3___RNAseq.g49409.t1,Montipora_capitata,Metamorphosed,Meta_2,9293,OG0011351
MAM and LDL-receptor class A domain-containing 1,Montipora_capitata_HIv3___RNAseq.g49409.t1,Montipora_capitata,Metamorphosed,Meta_3,11362,OG0011351
MAM and LDL-receptor class A domain-containing 1,Montipora_capitata_HIv3___RNAseq.g49409.t1,Montipora_capitata,Spat,Spat_1,14894,OG0011351
MAM and LDL-receptor class A domain-containing 1,Montipora_capitata_HIv3___RNAseq.g49409.t1,Montipora_capitata,Spat,Spat_2,21274,OG0011351
MAM and LDL-receptor class A domain-containing 1,Montipora_capitata_HIv3___RNAseq.g49409.t1,Montipora_capitata,Spat,Spat_3,38506,OG0011351
MAM and LDL-receptor class A domain-containing 1,Pocillopora_acuta_HIv2___RNAseq.g25935.t1,Pocillopora_acuta,Larvae,Larva_1,984,OG0011351
MAM and LDL-receptor class A domain-containing 1,Pocillopora_acuta_HIv2___RNAseq.g25935.t1,Pocillopora_acuta,Larvae,Larva_2,999,OG0011351
MAM and LDL-receptor class A domain-containing 1,Pocillopora_acuta_HIv2___RNAseq.g25935.t1,Pocillopora_acuta,Larvae,Larva_3,1984,OG0011351
MAM and LDL-receptor class A domain-containing 1,Pocillopora_acuta_HIv2___RNAseq.g25935.t1,Pocillopora_acuta,Metamorphosed,Meta_1,400,OG0011351
MAM and LDL-receptor class A domain-containing 1,Pocillopora_acuta_HIv2___RNAseq.g25935.t1,Pocillopora_acuta,Metamorphosed,Meta_2,230,OG0011351
MAM and LDL-receptor class A domain-containing 1,Pocillopora_acuta_HIv2___RNAseq.g25935.t1,Pocillopora_acuta,Metamorphosed,Meta_3,796,OG0011351
MAM and LDL-receptor class A domain-containing 1,Pocillopora_acuta_HIv2___RNAseq.g25935.t1,Pocillopora_acuta,Spat,Spat_1,18448,OG0011351
MAM and LDL-receptor class A domain-containing 1,Pocillopora_acuta_HIv2___RNAseq.g25935.t1,Pocillopora_acuta,Spat,Spat_2,18505,OG0011351
MAM and LDL-receptor class A domain-containing 1,Pocillopora_acuta_HIv2___RNAseq.g25935.t1,Pocillopora_acuta,Spat,Spat_3,19013,OG0011351
