Geneid,Chr,Start,End,Strand,Length,DRR318288,DRR318289,DRR318290,DRR318291,DRR318292,DRR318293,DRR318294,DRR318295,DRR318296,DRR318297,DRR318298,DRR318299
aten_0.1.m1.25,Sc0000000,177342,179187,-,1846,2301,2912,2979,2401,2095,1832,2335,1778,3271,3926,3631,2434
aten_0.1.m1.26,Sc0000000,352925,370727,+,17803,1077,1277,776,1803,563,1078,1129,403,961,773,869,521
aten_0.1.m1.28,Sc0000000,322755,331589,-,8835,1169,779,499,2770,235,851,226,251,215,41,174,145
aten_0.1.m1.29,Sc0000000,337398,339983,-,2586,316,55,39,1470,4,91,17,11,22,5,24,23
aten_0.1.m1.30,Sc0000000,273247,288251,-,15005,51,66,84,43,61,48,65,61,26,37,16,29
aten_0.1.m1.31,Sc0000000,288441,320717,-,32277,2772,3423,5139,4132,3031,2519,3145,2528,1290,1697,1178,1837
aten_0.1.m1.32,Sc0000000,379638,388733,+,9096,66,72,31,85,13,96,60,35,40,89,102,28
aten_0.1.m1.33,Sc0000000,394059,408427,+,14369,1269,1580,1047,2099,672,1345,1335,579,872,990,1062,719
aten_0.1.m1.34,Sc0000000,451166,451905,+,740,12,6,10,3,3,7,7,30,23,0,18,14
aten_0.1.m1.35,Sc0000000,413965,421203,+,7239,749,780,986,850,417,497,490,370,903,1021,1112,725
aten_0.1.m1.36,Sc0000000,407843,414142,-,6300,556,611,622,558,228,252,273,219,518,505,555,611
aten_0.1.m1.37,Sc0000000,420402,429614,-,9213,612,655,687,833,363,389,496,392,275,266,338,178
aten_0.1.m1.39,Sc0000000,483022,488570,+,5549,4,152,7,2,188,1,0,181,214,71,1,262
aten_0.1.m1.41,Sc0000000,498103,502554,-,4452,67,1,63,43,31,107,57,56,2,15,3,49
aten_0.1.m1.43,Sc0000000,551507,561804,-,10298,950,71,786,649,657,976,684,762,76,399,88,821
aten_0.1.m1.44,Sc0000000,533190,537171,+,3982,0,1,3,1,0,0,1,0,0,1,0,2
aten_0.1.m1.46,Sc0000000,599239,610222,+,10984,1312,1475,1287,1167,482,806,632,621,1345,1194,1381,726
aten_0.1.m1.47,Sc0000000,675528,677822,+,2295,386,319,433,498,546,233,342,343,77,125,138,90
aten_0.1.m1.48,Sc0000000,639667,649841,+,10175,3586,3898,3986,4803,2075,2762,2658,2185,1453,1617,1556,1129
aten_0.1.m1.49,Sc0000000,650553,663703,+,13151,1171,1203,2010,1458,1024,905,1145,957,675,606,720,1077
aten_0.1.m1.51,Sc0000000,609553,639686,-,30134,4186,4169,4069,5412,2767,3522,2971,2263,3286,3268,3877,2614
aten_0.1.m1.52,Sc0000000,573258,584990,-,11733,1539,1568,1784,1690,786,867,788,575,1348,1428,1565,1031
aten_0.1.m1.53,Sc0000000,586704,598238,-,11535,1700,1972,1942,1995,731,967,927,785,2216,1908,2117,1704
aten_0.1.m1.54,Sc0000000,711799,722904,+,11106,1708,1711,1688,1593,437,642,646,461,1356,1596,1299,1010
aten_0.1.m1.55,Sc0000000,745027,756324,+,11298,2704,3006,4106,1978,2018,1563,2008,1782,2386,1515,2295,1399
aten_0.1.m1.56,Sc0000000,683679,711102,+,27424,1160,644,739,1512,557,953,631,481,212,202,145,194
aten_0.1.m1.58,Sc0000000,737755,741350,+,3596,2783,2820,3526,3084,1983,2456,1908,1569,2181,2186,2408,1585
aten_0.1.m1.60,Sc0000000,758061,764328,-,6268,3135,4149,3204,3636,2426,2842,2627,2209,3103,2288,2671,1871
aten_0.1.m1.61,Sc0000000,767704,771079,-,3376,0,0,4,0,0,0,2,0,0,0,0,0
aten_0.1.m1.62,Sc0000000,722816,737393,-,14578,4452,2000,2946,6644,1544,3625,1419,1643,2285,2185,2425,1543
aten_0.1.m1.63,Sc0000000,786246,791384,+,5139,9,14,15,8,7,8,13,4,16,8,6,0
aten_0.1.m1.64,Sc0000000,813678,817612,+,3935,10,11,45,24,4,2,14,3,6,5,13,19
aten_0.1.m1.66,Sc0000000,864000,869308,-,5309,914,914,917,572,463,611,624,449,1304,1183,1330,1030
aten_0.1.m1.67,Sc0000000,834962,837721,-,2760,6,1,9,6,0,3,5,7,7,7,0,1
aten_0.1.m1.68,Sc0000000,790699,808391,-,17693,2573,4081,3136,2116,2350,1805,2662,2276,1569,1190,1214,1016
aten_0.1.m1.69,Sc0000000,870007,882468,-,12462,1179,1005,1342,1290,666,879,697,617,1471,1468,1548,920
aten_0.1.m1.70,Sc0000000,815985,817796,-,1812,0,0,1,0,0,0,0,0,0,0,0,0
aten_0.1.m1.72,Sc0000000,915049,922849,+,7801,1574,1733,1962,1809,1907,2066,1756,1942,1555,1727,1743,1541
aten_0.1.m1.73,Sc0000000,942558,946530,+,3973,998,932,305,259,95,672,221,175,450,232,529,114
aten_0.1.m1.74,Sc0000000,883997,903026,+,19030,2187,2631,2895,2642,1640,1787,1969,1412,5279,5617,5441,4300
aten_0.1.m1.75,Sc0000000,926566,939925,+,13360,879,935,585,709,106,463,328,187,250,203,242,100
aten_0.1.m1.76,Sc0000000,948212,961091,+,12880,129,251,71,37,22,94,61,41,117,53,85,68
aten_0.1.m1.77,Sc0000000,906218,909283,-,3066,2550,1800,2851,2339,336,436,488,291,1881,2210,1936,1506
aten_0.1.m1.78,Sc0000000,962220,965856,-,3637,1028,1282,1769,1972,7370,5578,8658,7040,1190,1257,1385,1226
aten_0.1.m1.79,Sc0000000,1017290,1020833,+,3544,125,0,152,0,69,100,46,106,104,0,125,0
aten_0.1.m1.80,Sc0000000,1049127,1055420,+,6294,1675,4942,1337,155,2263,1491,2772,1843,1856,1151,1276,1584
aten_0.1.m1.81,Sc0000000,966719,989487,+,22769,3964,5661,8896,7219,11625,7230,12510,11359,2977,3264,4514,2144
aten_0.1.m1.82,Sc0000000,993721,1015793,+,22073,155,309,327,254,394,347,470,357,134,177,237,82
aten_0.1.m1.83,Sc0000000,1067944,1075311,-,7368,11386,14941,15105,14187,13422,11541,14227,11519,10988,8934,11068,8250
aten_0.1.m1.84,Sc0000000,1022491,1024849,-,2359,11,13,20,4,2,4,7,2,0,5,0,0
aten_0.1.m1.85,Sc0000000,1056353,1061047,-,4695,32,5,7,13,3,26,2,0,5,1,2,0
aten_0.1.m1.86,Sc0000000,1086814,1095032,+,8219,1739,1006,2163,2448,1084,1115,1213,841,1093,1136,1186,973
aten_0.1.m1.87,Sc0000000,1123569,1132939,-,9371,148,149,129,166,102,117,162,115,113,52,74,92
aten_0.1.m1.88,Sc0000000,1144409,1153431,-,9023,795,1063,2037,1083,994,533,1094,796,752,734,723,879
aten_0.1.m1.89,Sc0000000,1078111,1086762,-,8652,611,672,687,717,430,356,438,327,619,422,605,459
aten_0.1.m1.90,Sc0000000,1156547,1163718,-,7172,0,0,0,1,0,0,0,0,1,0,0,0
aten_0.1.m1.91,Sc0000000,1137389,1141771,-,4383,77,207,71,48,25,87,63,26,86,50,61,67
aten_0.1.m1.92,Sc0000000,1099792,1103028,-,3237,279,189,313,324,188,107,163,95,226,426,311,169
aten_0.1.m1.93,Sc0000000,1098021,1098818,-,798,139,34,106,257,61,64,95,94,22,49,28,139
aten_0.1.m1.94,Sc0000000,1230195,1238139,+,7945,0,0,1,0,2,0,6,0,0,2,0,0
aten_0.1.m1.95,Sc0000000,1185274,1193805,+,8532,0,0,0,0,0,0,0,0,0,0,0,0
aten_0.1.m1.97,Sc0000000,1274158,1280572,+,6415,86,93,40,36,26,38,22,16,39,28,32,16
aten_0.1.m1.98,Sc0000000,1179797,1181561,+,1765,0,0,0,0,0,0,0,0,0,0,0,0
aten_0.1.m1.99,Sc0000000,1156934,1173835,+,16902,114,125,113,109,42,55,56,33,81,28,22,35
aten_0.1.m1.102,Sc0000000,1223907,1232815,-,8909,0,0,1,0,0,0,0,0,0,1,0,0
aten_0.1.m1.103,Sc0000000,1173259,1193992,-,20734,47,49,37,0,23,2,13,10,3,29,19,20
aten_0.1.m1.104,Sc0000000,1237613,1249724,-,12112,10,5,20,9,4,5,4,8,9,0,5,2
aten_0.1.m1.105,Sc0000000,1263405,1270948,-,7544,5,1,1,2,1,0,0,2,2,0,0,0
aten_0.1.m1.107,Sc0000000,1258581,1259330,-,750,0,0,0,0,0,0,0,0,0,0,0,0
aten_0.1.m1.108,Sc0000000,1209094,1216341,-,7248,51,98,88,100,29,56,10,12,67,57,85,48
aten_0.1.m1.110,Sc0000000,1343923,1371366,+,27444,699,990,776,776,517,735,713,463,489,472,366,355
aten_0.1.m1.111,Sc0000000,1322098,1337184,+,15087,31,32,18,32,9,11,7,10,9,16,37,11
aten_0.1.m1.112,Sc0000000,1295187,1297314,+,2128,0,0,0,0,0,0,0,0,0,0,0,0
aten_0.1.m1.113,Sc0000000,1302108,1304081,-,1974,0,0,0,0,0,0,0,0,0,0,0,0
aten_0.1.m1.115,Sc0000000,1333274,1340860,-,7587,5,1,0,0,1,1,3,1,0,5,0,0
aten_0.1.m1.116,Sc0000000,1279991,1282004,-,2014,6,1,7,4,1,0,8,1,3,3,3,0
aten_0.1.m1.117,Sc0000000,1284584,1292766,-,8183,2,0,0,2,0,1,2,0,0,10,0,0
aten_0.1.m1.119,Sc0000000,1433024,1434259,+,1236,0,0,0,0,0,0,0,0,0,0,0,0
aten_0.1.m1.120,Sc0000000,1451443,1452708,+,1266,1,1,2,0,0,0,0,0,1,0,0,0
aten_0.1.m1.123,Sc0000000,1446549,1451067,-,4519,2,2,4,5,1,0,1,1,2,4,1,2
aten_0.1.m1.124,Sc0000000,1432240,1432533,+,294,0,0,0,0,0,0,0,0,0,0,0,0
aten_0.1.m1.125,Sc0000000,1508432,1508995,+,564,0,0,0,0,0,0,0,0,0,0,0,0
aten_0.1.m1.126,Sc0000000,1537013,1552362,+,15350,74,105,455,441,228,49,195,161,69,56,62,404
aten_0.1.m1.127,Sc0000000,1558654,1573083,+,14430,22,21,34,217,3,8,3,4,59,158,73,116
aten_0.1.m1.129,Sc0000000,1530007,1536154,+,6148,25,25,25,74,19,13,12,16,32,43,32,44
aten_0.1.m1.130,Sc0000000,1515241,1519658,+,4418,0,0,1,0,0,0,0,0,0,0,0,0
aten_0.1.m1.133,Sc0000000,1605397,1624303,+,18907,3,28,9,11,18,2,33,30,7,3,14,9
aten_0.1.m1.134,Sc0000000,1639778,1654250,+,14473,4,443,114,108,731,8,607,521,231,30,185,193
aten_0.1.m1.135,Sc0000000,1629440,1631102,+,1663,0,213,0,3,145,3,246,225,63,0,66,52
aten_0.1.m1.137,Sc0000000,1656841,1665642,-,8802,12,25,5,27,6,19,27,4,10,11,2,33
aten_0.1.m1.138,Sc0000000,1674200,1693156,+,18957,57,18,43,15,56,1,45,40,21,14,34,27
aten_0.1.m1.140,Sc0000000,1700272,1704023,+,3752,1,4,15,8,5,4,3,7,1,0,2,0
aten_0.1.m1.141,Sc0000000,1693641,1698055,+,4415,4,29,27,15,28,3,32,37,6,5,2,5
aten_0.1.m1.143,Sc0000000,1736521,1779344,+,42824,137,65,302,341,58,152,52,10,28,38,37,28
aten_0.1.m1.144,Sc0000000,1818855,1830231,+,11377,558,222,1228,1204,292,336,277,288,59,114,48,24
aten_0.1.m1.145,Sc0000000,1851298,1876566,+,25269,3376,4922,5292,3546,3884,3053,4426,3466,3902,3304,3802,3056
aten_0.1.m1.146,Sc0000000,1830355,1850035,+,19681,1162,272,2160,2858,427,957,448,365,28,118,21,53
aten_0.1.m1.149,Sc0000000,1876482,1879657,-,3176,25,99,45,58,65,31,80,42,258,446,106,275
aten_0.1.m1.150,Sc0000000,1839247,1851204,-,11958,66,89,66,89,48,54,75,46,222,217,246,199
aten_0.1.m1.151,Sc0000000,1908621,1938308,+,29688,1812,2203,2270,2528,1506,1883,1601,1457,3124,2919,3328,2258
aten_0.1.m1.152,Sc0000000,1884109,1890525,+,6417,24,15,12,18,3,9,15,13,22,10,10,11
aten_0.1.m1.153,Sc0000000,1942768,1943677,-,910,18,10,12,6,2,0,0,2,0,0,1,0
aten_0.1.m1.154,Sc0000000,1884710,1897545,-,12836,146,149,60,79,74,69,45,26,111,105,118,55
aten_0.1.m1.155,Sc0000000,1985691,1990131,+,4441,918,1105,1247,1100,675,577,646,575,595,661,562,670
aten_0.1.m1.156,Sc0000000,2047479,2050441,-,2963,4,0,6,3,0,0,0,0,0,1,9,3
aten_0.1.m1.157,Sc0000000,1990137,2041073,-,50937,4630,5514,5962,5033,4062,4339,4743,3710,4041,4634,3490,3212
aten_0.1.m1.158,Sc0000000,1950518,1973350,-,22833,1541,2320,2531,2209,1963,1676,2386,2204,1109,1147,1190,927
aten_0.1.m1.159,Sc0000000,1975567,1985633,-,10067,494,571,433,560,131,209,151,107,407,360,333,250
aten_0.1.m1.160,Sc0000000,2063225,2102114,+,38890,208,253,473,522,372,316,354,276,130,225,188,309
aten_0.1.m1.161,Sc0000000,2159002,2160289,+,1288,17,39,2,4,18,14,6,7,6,4,13,13
aten_0.1.m1.162,Sc0000000,2161294,2165066,+,3773,382,370,32,335,246,320,248,144,203,125,178,96
aten_0.1.m1.163,Sc0000000,2122136,2123359,+,1224,2,0,0,0,0,0,0,0,0,0,0,0
aten_0.1.m1.164,Sc0000000,2167317,2175508,+,8192,248,242,199,182,255,270,288,220,195,309,163,222
aten_0.1.m1.165,Sc0000000,2128007,2130631,+,2625,0,0,0,0,0,0,0,0,0,0,0,0
aten_0.1.m1.166,Sc0000000,2123904,2126189,+,2286,11,5,2,4,0,5,0,0,0,9,3,2
aten_0.1.m1.167,Sc0000000,2160906,2161226,+,321,27,17,9,15,28,39,21,21,12,11,14,8
aten_0.1.m1.168,Sc0000000,2137679,2141072,-,3394,5,0,0,3,0,0,0,0,0,3,0,0
aten_0.1.m1.169,Sc0000000,2134414,2135271,-,858,3,5,6,0,1,1,3,4,3,2,7,1
aten_0.1.m1.170,Sc0000000,2280216,2287023,+,6808,8441,8214,7790,8404,4763,7617,5012,4046,12515,12410,13074,7900
aten_0.1.m1.171,Sc0000000,2201585,2202790,+,1206,0,2,0,2,15,28,19,18,4,2,2,12
aten_0.1.m1.172,Sc0000000,2212853,2214073,+,1221,0,0,0,0,0,0,0,0,0,0,0,0
aten_0.1.m1.173,Sc0000000,2233571,2238892,+,5322,0,0,0,0,0,0,0,0,0,0,0,0
aten_0.1.m1.175,Sc0000000,2203211,2207381,+,4171,33,48,3,45,15,34,26,20,27,37,19,11
aten_0.1.m1.176,Sc0000000,2214621,2218611,+,3991,21,24,8,15,3,16,10,9,6,29,10,4
aten_0.1.m1.177,Sc0000000,2218852,2231763,-,12912,390,805,819,533,220,148,348,279,714,481,961,796
aten_0.1.m1.178,Sc0000000,2186517,2193145,-,6629,56,65,18,27,25,17,20,24,25,12,28,11
aten_0.1.m1.179,Sc0000000,2250530,2260761,-,10232,24,53,45,79,47,25,52,39,54,5,106,140
aten_0.1.m1.181,Sc0000000,2290417,2319546,+,29130,1127,1190,1090,1440,929,1050,990,699,433,443,455,347
aten_0.1.m1.182,Sc0000000,2320344,2340685,-,20342,13094,15207,15256,15940,10056,10974,10636,8305,21191,19165,22872,17098
aten_0.1.m1.184,Sc0000000,2383705,2394345,+,10641,0,1,0,0,0,0,0,0,2,0,0,0
aten_0.1.m1.185,Sc0000000,2343755,2348897,+,5143,33,29,23,25,8,3,24,7,14,4,17,3
aten_0.1.m1.186,Sc0000000,2395435,2406226,+,10792,282,387,0,2,0,348,0,0,540,429,359,0
aten_0.1.m1.191,Sc0000000,2521468,2529687,+,8220,537,626,564,277,207,450,202,154,605,931,562,130
aten_0.1.m1.192,Sc0000000,2532529,2534549,+,2021,5,74,2,57,15,1,20,12,20,33,28,9
aten_0.1.m1.194,Sc0000000,2471339,2478784,+,7446,141,96,369,93,50,93,49,34,12,374,14,30
aten_0.1.m1.195,Sc0000000,2498766,2501690,+,2925,101,157,0,0,0,141,0,0,125,129,114,1
aten_0.1.m1.198,Sc0000000,2629656,2636993,+,7338,740,785,801,893,533,823,598,403,857,939,1134,571
aten_0.1.m1.199,Sc0000000,2604772,2618265,+,13494,368,406,1194,395,845,263,886,827,308,414,282,1664
aten_0.1.m1.200,Sc0000000,2585711,2603101,+,17391,626,204,664,972,288,642,267,273,110,453,202,211
aten_0.1.m1.201,Sc0000000,2568508,2583367,+,14860,235,167,23,300,14,292,33,27,165,174,159,29
aten_0.1.m1.202,Sc0000000,2549856,2558519,+,8664,1297,1629,374,542,248,672,222,146,1496,1357,1544,181
aten_0.1.m1.203,Sc0000000,2661215,2669968,-,8754,1363,1619,2068,1846,903,1037,927,626,1193,1049,1295,1098
aten_0.1.m1.204,Sc0000000,2618957,2626642,-,7686,9339,9545,11271,9974,5787,7513,7018,5376,6590,6330,5941,4525
aten_0.1.m1.205,Sc0000000,2670466,2671364,-,899,4,0,7,18,7,4,16,9,8,3,0,12
aten_0.1.m1.207,Sc0000000,2698540,2706134,+,7595,125,243,171,56,60,138,99,50,47,30,19,39
aten_0.1.m1.208,Sc0000000,2715432,2731995,+,16564,561,551,572,480,283,523,414,306,399,400,445,253
aten_0.1.m1.209,Sc0000000,2685210,2693827,+,8618,8035,8866,9338,9691,8064,7435,7440,5793,9211,8841,9422,9232
aten_0.1.m1.210,Sc0000000,2740149,2744019,-,3871,41,38,40,109,51,52,17,47,58,43,37,37
aten_0.1.m1.211,Sc0000000,2705925,2713323,-,7399,21,34,8,0,21,8,12,18,72,107,65,36
aten_0.1.m1.212,Sc0000000,2673234,2685149,-,11916,1415,1332,2316,1855,1047,1041,1047,882,1418,1305,1788,2118
aten_0.1.m1.213,Sc0000000,2758567,2768030,-,9464,1328,1543,1493,1463,938,1102,1183,869,487,406,482,391
aten_0.1.m1.214,Sc0000000,2750121,2756724,-,6604,919,1200,1140,1199,790,826,932,680,362,284,320,248
aten_0.1.m1.215,Sc0000000,2819440,2820413,+,974,658,1356,988,656,685,812,800,603,602,499,408,386
aten_0.1.m1.216,Sc0000000,2847512,2851793,+,4282,916,564,984,1068,548,475,567,523,694,954,768,657
aten_0.1.m1.217,Sc0000000,2873037,2879190,+,6154,208,365,275,381,120,241,213,144,272,289,380,209
aten_0.1.m1.218,Sc0000000,2832769,2844771,+,12003,2137,2269,2590,2300,1247,1096,1299,1450,1335,1419,1244,1409
aten_0.1.m1.219,Sc0000000,2864215,2868939,+,4725,2330,2608,1086,1514,433,897,991,840,750,513,615,446
aten_0.1.m1.220,Sc0000000,2784043,2788589,+,4547,1056,1459,1494,1478,548,384,495,338,4466,3873,5628,4469
aten_0.1.m1.221,Sc0000000,2851570,2854509,-,2940,607,983,902,631,354,467,388,301,606,545,555,369
aten_0.1.m1.222,Sc0000000,2821523,2823544,-,2022,712,694,768,804,522,609,502,441,327,337,339,270
aten_0.1.m1.223,Sc0000000,2796709,2802664,-,5956,1435,1744,1955,1803,2659,2099,1953,1644,546,359,658,245
aten_0.1.m1.224,Sc0000000,2855763,2862150,-,6388,1699,1819,1555,1416,1021,1160,1157,891,2119,2218,2398,1974
aten_0.1.m1.225,Sc0000000,2824313,2831201,-,6889,4829,5414,7210,5720,3347,3621,3864,2929,2070,2154,1916,1584
aten_0.1.m1.226,Sc0000000,2809303,2817636,-,8334,9453,11710,11345,11126,7678,8355,8168,6880,7952,7706,7824,6213
aten_0.1.m1.227,Sc0000000,2892745,2894198,+,1454,0,0,0,0,0,0,0,0,0,0,0,0
aten_0.1.m1.229,Sc0000000,2978198,2985346,+,7149,1174,1055,1495,1231,735,569,863,688,897,1056,1072,632
aten_0.1.m1.230,Sc0000000,2964518,2976402,+,11885,542,576,848,442,367,496,495,364,914,942,843,856
aten_0.1.m1.231,Sc0000000,2922638,2961488,-,38851,1998,2863,3273,2742,2609,2245,2536,2219,2435,2156,2630,2482
aten_0.1.m1.232,Sc0000000,2879768,2919294,-,39527,24342,28294,30745,29874,18620,20996,22891,16919,48148,47396,52738,39725
aten_0.1.m1.233,Sc0000000,2996973,3001524,+,4552,4494,4110,3163,4174,3362,4249,3790,3104,6499,6747,5017,5270
aten_0.1.m1.234,Sc0000000,3075560,3084117,+,8558,528,603,527,862,280,329,393,259,462,319,232,194
aten_0.1.m1.235,Sc0000000,3004952,3008864,+,3913,1254,1459,1528,1485,599,785,850,634,1494,1420,1409,1256
aten_0.1.m1.236,Sc0000000,3044517,3050306,+,5790,7,0,10,4,9,4,8,18,0,0,0,0
aten_0.1.m1.237,Sc0000000,3050374,3052190,+,1817,0,0,9,1,16,4,15,15,6,0,1,4
aten_0.1.m1.238,Sc0000000,3010656,3015631,-,4976,22,31,22,19,14,38,17,13,12,26,24,15
aten_0.1.m1.239,Sc0000000,3036314,3040623,-,4310,16,15,4,10,9,28,8,0,9,21,18,14
aten_0.1.m1.240,Sc0000000,3066232,3070682,-,4451,49,51,41,27,26,31,17,19,22,18,20,7
aten_0.1.m1.241,Sc0000000,3055764,3060720,-,4957,15,27,25,4,10,18,11,5,22,5,18,21
aten_0.1.m1.242,Sc0000000,3174302,3178805,+,4504,278,102,50,304,379,412,508,462,739,819,235,745
aten_0.1.m1.243,Sc0000000,3146586,3148694,+,2109,3,14,28,3,5,6,13,4,2,0,2,7
aten_0.1.m1.244,Sc0000000,3110152,3111195,+,1044,18,31,63,0,22,17,30,22,12,16,8,20
aten_0.1.m1.246,Sc0000000,3132441,3135604,+,3164,0,0,0,0,1,0,0,0,0,0,0,0
aten_0.1.m1.247,Sc0000000,3154097,3156319,+,2223,3,9,18,1,9,9,9,11,0,8,3,4
aten_0.1.m1.248,Sc0000000,3144490,3144864,+,375,0,0,0,0,0,0,0,0,0,0,0,0
aten_0.1.m1.249,Sc0000000,3113827,3118747,+,4921,1,2,1,0,0,3,1,1,0,0,0,1
aten_0.1.m1.250,Sc0000000,3088956,3100316,-,11361,0,0,0,0,0,0,0,0,0,0,1,0
aten_0.1.m1.252,Sc0000000,3158150,3159439,-,1290,0,2,0,0,0,0,0,0,0,0,0,0
aten_0.1.m1.253,Sc0000000,3135904,3139450,-,3547,10,7,11,0,7,0,2,2,7,3,5,6
aten_0.1.m1.255,Sc0000000,3217826,3224873,+,7048,11,22,11,20,9,18,23,12,29,13,8,22
aten_0.1.m1.256,Sc0000000,3255105,3262315,+,7211,647,691,693,708,334,306,444,385,946,940,1118,864
aten_0.1.m1.257,Sc0000000,3192424,3210578,+,18155,72,70,65,136,34,37,56,34,40,34,42,23
aten_0.1.m1.258,Sc0000000,3227644,3244321,-,16678,1598,1850,1465,2331,648,977,764,634,2327,2126,2769,1358
aten_0.1.m1.259,Sc0000000,3201445,3204827,-,3383,0,0,0,0,0,0,0,0,0,0,0,0
aten_0.1.m1.260,Sc0000000,3189352,3191031,-,1680,75,17,13,23,59,15,105,55,122,0,127,81
aten_0.1.m1.261,Sc0000000,3343595,3344459,+,865,0,0,0,0,0,0,0,0,0,0,0,0
aten_0.1.m1.262,Sc0000000,3356368,3358319,-,1952,1,8,8,5,2,7,14,0,3,2,1,0
aten_0.1.m1.263,Sc0000000,3262847,3305797,-,42951,3351,4282,3531,3879,3522,3875,4080,3079,1716,1535,1681,1604
aten_0.1.m1.264,Sc0000000,3309945,3326273,-,16329,360,450,348,449,230,366,321,222,372,217,248,216
aten_0.1.m1.265,Sc0000000,3339432,3349216,-,9785,19,10,17,3,2,5,2,3,7,4,3,0
aten_0.1.m1.267,Sc0000000,3473082,3476903,+,3822,29,19,21,33,9,22,33,13,38,30,40,33
aten_0.1.m1.268,Sc0000000,3479050,3480368,+,1319,105,156,145,170,130,54,100,74,170,108,229,259
aten_0.1.m1.269,Sc0000000,3406037,3407305,+,1269,0,0,2,4,2,0,0,2,0,0,0,0
aten_0.1.m1.270,Sc0000000,3446641,3454214,+,7574,0,0,0,0,0,0,0,0,0,0,0,0
aten_0.1.m1.272,Sc0000000,3382871,3398087,-,15217,255,359,248,254,207,176,173,135,77,73,96,50
aten_0.1.m1.273,Sc0000000,3441580,3463017,-,21438,260,210,473,62,5,200,21,26,72,142,77,6
aten_0.1.m1.276,Sc0000000,3552679,3554836,+,2158,0,0,2,2,7,0,2,0,0,0,0,0
aten_0.1.m1.277,Sc0000000,3524430,3540463,+,16034,14,8,5,15,12,9,8,3,0,0,1,0
aten_0.1.m1.278,Sc0000000,3489602,3498455,+,8854,483,528,689,979,289,203,345,282,675,293,836,791
aten_0.1.m1.279,Sc0000000,3570147,3578266,-,8120,3,0,0,6,0,0,0,0,1,0,1,3
aten_0.1.m1.280,Sc0000000,3549617,3551379,-,1763,0,0,0,1,0,4,2,0,0,2,1,0
aten_0.1.m1.281,Sc0000000,3503886,3516749,-,12864,107,85,29,40,47,217,91,59,139,59,76,131
aten_0.1.m1.282,Sc0000000,3481099,3489541,-,8443,596,709,960,959,570,439,529,402,1301,1221,1479,1256
aten_0.1.m1.283,Sc0000000,3562705,3563835,-,1131,0,0,0,0,0,0,0,0,0,0,0,0
aten_0.1.m1.284,Sc0000000,3674681,3678425,+,3745,351,399,237,438,156,336,487,153,341,328,359,234
