gene_id,average_length
SpisGene1092,20155
SpisGene10920,4553
SpisGene10921,1134
SpisGene10922,1738
SpisGene10923,13053
SpisGene10924,9058
SpisGene10925,11490
SpisGene10926,4090
SpisGene10927,3740
SpisGene10928,15450
SpisGene10929,20538.666666666668
SpisGene1093,10195
SpisGene10930,10413
SpisGene10931,2211
SpisGene10932,1038
SpisGene10933,11761
SpisGene10934,971
SpisGene10935,19547
SpisGene10936,3797
SpisGene10937,2774
SpisGene10938,5414
SpisGene10939,4341
SpisGene1094,3710
SpisGene10940,2424
SpisGene10941,9523
SpisGene10942,1504
SpisGene10943,10002.5
SpisGene10944,15557
SpisGene10945,16484
SpisGene10946,2033
SpisGene10947,5345
SpisGene10948,11526
SpisGene10949,1497
SpisGene1095,4540
SpisGene10950,5481
SpisGene10951,1721
SpisGene10952,3886
SpisGene10953,25095
SpisGene10954,3940
SpisGene10955,7523
SpisGene10956,11164
SpisGene10957,1061
SpisGene10958,538
SpisGene10959,4137
SpisGene1096,17004.5
SpisGene10960,711
SpisGene10961,3264
SpisGene10962,5670
SpisGene10963,653
SpisGene10964,22381
SpisGene10965,634
SpisGene10966,24935
SpisGene10967,19500
SpisGene10968,46023
SpisGene10969,1872
SpisGene1097,1479
SpisGene10970,11694
SpisGene10971,6523
SpisGene10972,10248
SpisGene10973,11834
SpisGene10974,510
SpisGene10975,14821
SpisGene10976,3647
SpisGene10977,7644
SpisGene10978,11801
SpisGene10979,5128
SpisGene1098,7326
SpisGene10980,872
SpisGene10981,12632
SpisGene10982,15763
SpisGene10983,1151
SpisGene10984,7247
SpisGene10985,7983
SpisGene10986,2067
SpisGene10987,8726
SpisGene10988,14867
SpisGene10989,5294
SpisGene1099,8970
SpisGene10990,1478
SpisGene10991,13266
SpisGene10992,10822
SpisGene10993,5745
SpisGene10994,4180
SpisGene10995,8728
SpisGene10996,99351
SpisGene10997,22862
SpisGene10998,23825
SpisGene10999,1767
SpisGene11,7204
SpisGene110,4027
SpisGene1100,2722
SpisGene11000,10237
SpisGene11001,5856
SpisGene11002,1925
SpisGene11003,2004
SpisGene11004,5831
SpisGene11005,2530
SpisGene11006,24795
SpisGene11007,3313
SpisGene11008,6266
SpisGene11009,2354
SpisGene1101,4258
SpisGene11010,2976
SpisGene11011,9383
SpisGene11012,22644
SpisGene11013,6976
SpisGene11014,2388
SpisGene11015,14188
SpisGene11016,3853
SpisGene11017,3630
SpisGene11018,2340
SpisGene11019,3605
SpisGene1102,2105
SpisGene11020,9382
SpisGene11021,2659
SpisGene11022,2729
SpisGene11023,12322
SpisGene11024,13191
SpisGene11025,6205
SpisGene11026,4136
SpisGene11027,2461
SpisGene11028,4558
SpisGene11029,54512
SpisGene1103,6280
SpisGene11030,1110
SpisGene11031,35191
SpisGene11032,32932
SpisGene11033,49454
SpisGene11034,4227
SpisGene11035,2374
SpisGene11036,1452
SpisGene11037,10220
SpisGene11038,11488
SpisGene11039,9699
SpisGene1104,2438
SpisGene11040,508
SpisGene11041,9434.5
SpisGene11042,13400
SpisGene11043,3316
SpisGene11044,8764
SpisGene11045,2658
SpisGene11046,7297
SpisGene11047,21641
SpisGene11048,10886
SpisGene11049,3617
SpisGene1105,33505
SpisGene11050,6468
SpisGene11051,4072
SpisGene11052,13850
SpisGene11053,7409
SpisGene11054,12994.333333333334
SpisGene11055,8396
SpisGene11056,4518
SpisGene11057,6194
SpisGene11058,4573
SpisGene11059,6607
SpisGene1106,3100
SpisGene11060,1019
SpisGene11061,7709
SpisGene11062,6342
SpisGene11063,10189
SpisGene11064,3040
SpisGene11065,6573
SpisGene11066,11557
SpisGene11067,4478
SpisGene11068,7870
SpisGene11069,14877
SpisGene1107,3762
SpisGene11070,1543
SpisGene11071,15974
SpisGene11072,8451
SpisGene11073,12843
SpisGene11074,12727
SpisGene11075,9210
SpisGene11076,4167
SpisGene11077,5220
SpisGene11078,1387
SpisGene11079,1582
SpisGene1108,2575
SpisGene11080,1165
SpisGene11081,2599
SpisGene11082,14441
SpisGene11083,1393
SpisGene11084,1942
SpisGene11085,2975
SpisGene11086,1668
SpisGene11087,8066
SpisGene11088,19772
SpisGene11089,12508
SpisGene1109,2257
SpisGene11090,2280
SpisGene11091,2241
SpisGene11092,12562
SpisGene11093,6654
SpisGene11094,37618
SpisGene11095,3350
SpisGene11096,5724
SpisGene11097,2016
SpisGene11098,3674
SpisGene11099,1621
SpisGene111,8058
SpisGene1110,15673
SpisGene11100,1403
SpisGene11101,2646
SpisGene11102,15089
SpisGene11103,11095
SpisGene11104,14697
SpisGene11105,20335
SpisGene11106,1267
SpisGene11107,23772
SpisGene11108,4192
SpisGene11109,14086
SpisGene1111,7384
SpisGene11110,9802
SpisGene11111,11303
SpisGene11112,2516
SpisGene11113,2338
SpisGene11114,879
SpisGene11115,9332
SpisGene11116,3099
SpisGene11117,5753
SpisGene11118,5474
SpisGene11119,4587
SpisGene1112,4760
SpisGene11120,5090
SpisGene11121,4433
SpisGene11122,2620.3333333333335
SpisGene11123,11014
SpisGene11124,12663
SpisGene11125,1795
SpisGene11126,1455
SpisGene11127,9261
SpisGene11128,1563
SpisGene11129,7263
SpisGene1113,5729
SpisGene11130,6313
SpisGene11131,1420
SpisGene11132,5571
SpisGene11133,1855
SpisGene11134,2159
SpisGene11135,5015
SpisGene11136,18707
SpisGene11137,14385
SpisGene11138,7586
SpisGene11139,6895
SpisGene1114,6940
SpisGene11140,2595
SpisGene11141,1261
